"transaction_counts_id","book_id","times_out","is_indeterminate"
"406","5027","106","0"
"407","9351","106","0"
"408","1143","106","0"
"409","11083","106","0"
"410","2756","106","0"
"411","6537","106","0"
"412","9020","105","0"
"413","6171","105","0"
"414","5404","105","0"
"415","5822","105","0"
"416","1507","105","0"
"417","9283","105","0"
"418","533","105","0"
"419","5659","104","0"
"420","5549","104","0"
"421","5598","104","0"
"422","1538","104","0"
"423","5551","104","0"
"424","7224","104","0"
"425","2057","104","0"
"426","8271","104","0"
"427","498","104","0"
"428","10519","104","0"
"429","2722","104","0"
"430","5528","104","0"
"431","10527","103","0"
"432","2832","103","0"
"433","8437","103","0"
"434","4727","103","0"
"435","8440","102","0"
"436","2717","102","0"
"437","8302","102","0"
"438","10549","102","0"
"439","10984","102","0"
"440","900","102","0"
"441","1350","102","0"
"442","10632","102","0"
"443","6615","102","0"
"444","8355","102","0"
"445","2049","101","0"
"446","9581","101","0"
"447","7285","101","0"
"448","11042","101","0"
"449","9024","101","0"
"450","4705","101","0"
"451","5349","101","0"
"452","1614","101","0"
"453","5705","100","0"
"454","9422","100","0"
"455","5709","100","0"
"456","797","100","0"
"457","2979","100","0"
"458","382","100","0"
"459","7934","100","0"
"460","8367","100","0"
"461","6823","100","0"
"462","509","99","0"
"463","894","99","0"
"464","7658","99","0"
"465","11047","99","0"
"466","1126","99","0"
"467","8693","99","0"
"468","11161","99","0"
"469","6231","99","0"
"470","8439","98","0"
"471","7666","98","0"
"472","8374","98","0"
"473","4345","98","0"
"474","5867","98","0"
"475","9620","98","0"
"476","7777","98","0"
"477","7825","98","0"
"478","1810","97","0"
"479","122","97","0"
"480","8446","97","0"
"481","5858","97","0"
"482","7775","97","0"
"483","10555","97","0"
"484","472","96","0"
"485","923","96","0"
"486","5548","96","0"
"487","8443","96","0"
"488","11009","96","0"
"489","1442","96","0"
"490","8655","96","0"
"491","6593","96","0"
"492","5538","96","0"
"493","5826","96","0"
"494","5396","96","0"
"495","974","96","0"
"496","9787","95","0"
"497","10524","95","0"
"498","2910","95","0"
"499","1012","95","0"
"500","9901","95","0"
"501","134","95","0"
"502","928","95","0"
"503","1672","95","0"
"504","1108","95","0"
"505","10150","95","0"
"506","2835","95","0"
"507","1499","95","0"
"508","7295","95","0"
"509","1306","95","0"
"510","5660","94","0"
"511","7671","94","0"
"512","8445","94","0"
"513","479","94","0"
"514","1944","94","0"
"515","1724","94","0"
"516","1113","94","0"
"517","5914","93","0"
"518","10062","93","0"
"519","8282","93","0"
"520","5438","93","0"
"521","4607","93","0"
"522","5664","93","0"
"523","5010","93","0"
"524","2836","93","0"
"525","324","93","0"
"526","551","93","0"
"527","3107","92","0"
"528","328","92","0"
"529","5689","92","0"
"530","6717","92","0"
"531","8568","92","0"
"532","4842","92","0"
"533","1622","92","0"
"534","4734","92","0"
"535","966","92","0"
"536","785","92","0"
"537","1818","92","0"
"538","93","92","0"
"539","5252","92","0"
"540","598","92","0"
"541","8652","91","0"
"542","11671","91","0"
"543","1317","91","0"
"544","6580","91","0"
"545","2853","91","0"
"546","5958","91","0"
"547","1759","91","0"
"548","7361","90","0"
"549","4361","90","0"
"550","7362","90","0"
"551","5568","90","0"
"552","11077","90","0"
"553","6918","90","0"
"554","10007","90","0"
"555","10539","90","0"
"556","9595","89","0"
"557","553","89","0"
"558","1922","89","0"
"559","7945","89","0"
"560","4045","89","0"
"561","9599","89","0"
"562","1119","89","0"
"563","2667","89","0"
"564","1120","89","0"
"565","1168","89","0"
"566","2558","89","0"
"567","2511","89","0"
"568","5571","89","0"
"569","10634","89","0"
"570","2840","89","0"
"571","5304","88","0"
"572","8149","88","0"
"573","6267","88","0"
"574","10848","88","0"
"575","1537","88","0"
"576","863","88","0"
"577","609","88","0"
"578","4770","88","0"
"579","2689","88","0"
"580","3301","88","0"
"581","7956","88","0"
"582","1129","88","0"
"583","3274","87","0"
"584","9820","87","0"
"585","8152","87","0"
"586","5390","87","0"
"587","4911","87","0"
"588","6820","87","0"
"589","545","87","0"
"590","929","87","0"
"591","7048","87","0"
"592","11158","87","0"
"593","2042","87","0"
"594","883","87","0"
"595","773","87","0"
"596","10617","87","0"
"597","2660","87","0"
